84,,King Rail,Rallus elegans,rare,,
85,,Virginia Rail,Rallus limicola,regular,,
86,,Sora,Porzana carolina,regular,,
87,,Common Gallinule,Gallinula galeata,regular,,
88,,American Coot,Fulica americana,regular,,
89,,Purple Gallinule,Porphyrio martinica (martinicus),accidental,21 records,Review
90,,Yellow Rail,Coturnicops noveboracensis,rare,,
91,,Black Rail,Laterallus jamaicensis,accidental,8 records,Review
,,,,,,
,Limpkins,Limpkins,,,,
92,,Limpkin,Aramus guarauna,accidental,multiple records,Review
,,,,,,
,Cranes,Cranes,,,,
93,,Sandhill Crane,Antigone canadensis,regular,,
94,,Whooping Crane,Grus americana,rare,,
,,,,,,
,Stilts and Avocets,Stilts and Avocets,,,,
95,,Black-necked Stilt,Himantopus mexicanus,rare,,
96,,American Avocet,Recurvirostra americana,regular,,
,,,,,,
,Lapwings and Plovers,Lapwings and Plovers,,,,
97,,Black-bellied Plover,Pluvialis squatarola,regular,,
98,,American Golden-Plover,Pluvialis dominica,regular,,
99,,Killdeer,Charadrius vociferus,regular,,
100,,Semipalmated Plover,Charadrius semipalmatus,regular,,
101,,Piping Plover,Charadrius melodus,rare,,
102,,Wilson's Plover,Anarhynchus wilsonia,accidental,3 records,Review
103,,Snowy Plover,Anarhynchus nivosus,accidental,7 records,Review
,,,,,,
,"Sandpipers, Phalaropes, and Allies","Sandpipers, Phalaropes, and Allies",,,,
104,,Upland Sandpiper,Bartramia longicauda,rare,,
105,,Whimbrel,Numenius phaeopus,rare,,
106,,Eskimo Curlew,Numenius borealis,accidental,2 records,Review
107,,Long-billed Curlew,Numenius americanus,accidental,12 records,Review
108,,Bar-tailed Godwit,Limosa lapponica,accidental,1 record,Pending RC Acceptance
109,,Hudsonian Godwit,Limosa haemastica,rare,,
110,,Marbled Godwit,Limosa fedoa,rare,,
111,,Ruddy Turnstone,Arenaria interpres,regular,,
112,,Black Turnstone,Arenaria melanocephala,accidental,1 record,Review
113,,Red Knot,Calidris canutus,rare,,
114,,Ruff,Calidris pugnax,casual,,Review
115,,Sharp-tailed Sandpiper,Calidris acuminata,accidental,3 records,Review
116,,Stilt Sandpiper,Calidris himantopus,regular,,
117,,Curlew Sandpiper,Calidris ferruginea,accidental,9 records,Review
118,,Sanderling,Calidris alba,regular,,
119,,Dunlin,Calidris alpina,regular,,
120,,Purple Sandpiper,Calidris maritima,casual,,Review
121,,Baird's Sandpiper,Calidris bairdii,regular,,
122,,Least Sandpiper,Calidris minutilla,regular,,
123,,White-rumped Sandpiper,Calidris fuscicollis,regular,,
124,,Buff-breasted Sandpiper,Calidris subruficollis,regular,,
125,,Pectoral Sandpiper,Calidris melanotos,regular,,
126,,Semipalmated Sandpiper,Calidris pusilla,regular,,
127,,Western Sandpiper,Calidris mauri,rare,,Review
128,,Short-billed Dowitcher,Limnodromus griseus,regular,,
129,,Long-billed Dowitcher,Limnodromus scolopaceus,regular,,
130,,American Woodcock,Scolopax minor,regular,,
131,,Wilson's Snipe,Gallinago delicata,regular,,
132,,Spotted Sandpiper,Actitis macularius,regular,,
133,,Solitary Sandpiper,Tringa solitaria,regular,,
134,,Lesser Yellowlegs,Tringa flavipes,regular,,
135,,Willet,Tringa semipalmata,regular,,
136,,Greater Yellowlegs,Tringa melanoleuca,regular,,
137,,Wilson's Phalarope,Phalaropus tricolor,regular,,
138,,Red-necked Phalarope,Phalaropus lobatus,rare,,
139,,Red Phalarope,Phalaropus fulicarius,rare,,
,,,,,,
,Skuas and Jaegers,Skuas and Jaegers,,,,
140,,Pomarine Jaeger,Stercorarius pomarinus,casual,,Review
141,,Parasitic Jaeger,Stercorarius parasiticus,regular,,Review
142,,Long-tailed Jaeger,Stercorarius longicaudus,casual,,Review
,,,,,,
,"Auks, Murres, and Puffins","Auks, Murres, and Puffins",,,,
143,,Dovekie,Alle alle,accidental,2 records,Review
144,,Thick-billed Murre,Uria lomvia,accidental,1 record,Review
145,,Ancient Murrelet,Synthliboramphus antiquus,accidental,7 records,Review
,,,,,,
,"Gulls, Terns, and Skimmers","Gulls, Terns, and Skimmers",,,,
146,,Black-legged Kittiwake,Rissa tridactyla,casual,,Review
147,,Ivory Gull,Pagophila eburnea,accidental,14 records,Review
148,,Sabine's Gull,Xema sabini,rare,,Review
149,,Bonaparte's Gull,Chroicocephalus philadelphia,regular,,
150,,Black-headed Gull,Chroicocephalus ridibundus,accidental,16 records,Review
151,,Little Gull,Hydrocoloeus minutus,rare,,
152,,Ross's Gull,Rhodostethia rosea,accidental,3 records,Review
153,,Laughing Gull,Leucophaeus atricilla,rare,,Review
154,,Franklin's Gull,Leucophaeus pipixcan,regular,,
155,,Black-tailed Gull,Larus crassirostris,accidental,2 records,Review
156,,Short-billed Gull,Larus brachyrhynchus,casual,,Review
157,,Ring-billed Gull,Larus delawarensis,regular,,
158,,California Gull,Larus californicus,casual,,Review
159,,American Herring Gull (Herring Gull),Larus smithsonianus (L. argentatus),regular,,
160,,Iceland Gull,Larus glaucoides,regular,,
161,,Lesser Black-backed Gull,Larus fuscus,regular,,
162,,Slaty-backed Gull,Larus schistisagus,casual,,Review
163,,Glaucous-winged Gull,Larus glaucescens,accidental,7 records,Review
164,,Glaucous Gull,Larus hyperboreus,regular,,
165,,Great Black-backed Gull,Larus marinus,regular,,
166,,Sooty Tern,Onychoprion fuscatus,accidental,2 records,Review
167,,Least Tern,Sternula antillarum,accidental,17 records,Review
168,,Caspian Tern,Hydroprogne caspia,regular,,
169,,Black Tern,Chlidonias niger,regular,,
170,,White-winged Tern,Chlidonias leucopterus,accidental,2 records,Review
171,,Common Tern,Sterna hirundo,regular,,
172,,Arctic Tern,Sterna paradisaea,casual,,Review
173,,Forster's Tern,Sterna forsteri,regular,,
174,,Royal Tern,Thalasseus maximus,accidental,4 records,Review
,,,,,,
,Loons,Loons,,,,
175,,Red-throated Loon,Gavia stellata,regular,,
176,,Arctic Loon,Gavia arctica,accidental,1 record,Review
177,,Pacific Loon,Gavia pacifica,rare,,
178,,Common Loon,Gavia immer,regular,,
,,,,,,
,Shearwaters and Petrels,Shearwaters and Petrels,,,,
179,,Short-tailed Shearwater,Ardenna tenuirostris,accidental,1 record,Review
,,,,,,
,Storks,Storks,,,,
180,,Wood Stork,Mycteria americana,accidental,6 records,Review
,,,,,,
,Frigatebirds,Frigatebirds,,,,
181,,Magnificent Frigatebird,Fregata magnificens,accidental,6 records,Review
,,,,,,
,Boobies and Gannets,Boobies and Gannets,,,,
182,,Brown Booby,Sula leucogaster,accidental,1 record,Review
,,,,,,
,Darters,Darters,,,,
183,,Anhinga,Anhinga anhinga,accidental,11 records,Review
,,,,,,
,Cormorants,Cormorants,,,,
184,,Double-crested Cormorant,Nannopterum auritum,regular,,
185,,Neotropic Cormorant,Nannopterum brasilianum,accidental,12 records,Review
,,,,,,
,Pelicans,Pelicans,,,,
186,,American White Pelican,Pelecanus erythrorhynchos,regular,,
187,,Brown Pelican,Pelecanus occidentalis,accidental,10 records,Review
,,,,,,
,"Bitterns, Herons, and Allies","Bitterns, Herons, and Allies",,,,
188,,Least Bittern,Botaurus exilis,regular,,
189,,American Bittern,Botaurus lentiginosus,regular,,
190,,Little Blue Heron,Egretta caerulea,rare,,
191,,Tricolored Heron,Egretta tricolor,casual,,
192,,Snowy Egret,Egretta thula,rare,,
193,,Black-crowned Night Heron,Nycticorax nycticorax,regular,,
194,,Yellow-crowned Night Heron,Nyctanassa violacea,rare,,
195,,Green Heron,Butorides virescens,regular,,
196,,Great Egret,Ardea alba,regular,,
197,,Western Cattle-Egret,Bubulcus ibis,regular,,
198,,Great Blue Heron,Ardea herodias,regular,,
,,,,,,
,Ibises and Spoonbills,Ibises and Spoonbills,,,,
199,,White Ibis,Eudocimus albus,accidental,5 records,Review
200,,Glossy Ibis,Plegadis falcinellus,casual,,Review
201,,White-faced Ibis,Plegadis chihi,rare,,
202,,Roseate Spoonbill,Platalea ajaja,accidental,2 records,Review
,,,,,,
,New World Vultures,New World Vultures,,,,
203,,Black Vulture,Coragyps atratus,accidental,16 records,Review
204,,Turkey Vulture,Cathartes aura,regular,,
,,,,,,
,Ospreys,Ospreys,,,,
205,,Osprey,Pandion haliaetus,regular,,
,,,,,,
,"Hawks, Kites, Eagles, and Allies","Hawks, Kites, Eagles, and Allies",,,,
206,,White-tailed Kite,Elanus leucurus,accidental,8 records,Review
207,,Swallow-tailed Kite,Elanoides forficatus,casual,20 records,Review
208,,Golden Eagle,Aquila chrysaetos,regular,,
209,,Northern Harrier,Circus hudsonius,regular,,
210,,Sharp-shinned Hawk,Accipiter striatus,regular,,
211,,Cooper's Hawk,Astur (Accipiter) cooperii,regular,,
212,,American Goshawk,Astur (Accipiter) atricapillus,regular,,
213,,Bald Eagle,Haliaeetus leucocephalus,regular,,
214,,Mississippi Kite,Ictinia mississippiensis,casual,,Review
215,,Harris's Hawk,Parabuteo unicinctus,accidental,1 record,Review
216,,Red-shouldered Hawk,Buteo lineatus,regular,,
217,,Broad-winged Hawk,Buteo platypterus,regular,,
218,,Swainson's Hawk,Buteo swainsoni,casual,,Review
219,,Red-tailed Hawk,Buteo jamaicensis,regular,,
220,,Rough-legged Hawk,Buteo lagopus,regular,,
221,,Ferruginous Hawk,Buteo regalis,accidental,15 records,Review
,,,,,,
,Barn Owls,Barn Owls,,,,
222,,American Barn Owl,Tyto furcata,casual,,Review
,,,,,,
,Typical Owls,Typical Owls,,,,
223,,Eastern Screech-Owl,Megascops asio,regular,,
224,,Great Horned Owl,Bubo virginianus,regular,,
225,,Snowy Owl,Bubo scandiacus,rare,,
226,,Northern Hawk Owl,Surnia ulula,casual,,
227,,Burrowing Owl,Athene cunicularia,accidental,16 records,Review
228,,Barred Owl,Strix varia,regular,,
229,,Great Gray Owl,Strix nebulosa,casual,,
230,,Long-eared Owl,Asio otus,regular,,
231,,Short-eared Owl,Asio flammeus,regular,,
232,,Boreal Owl,Aegolius funereus,casual,,Review
233,,Northern Saw-whet Owl,Aegolius acadicus,regular,,
,,,,,,
,Kingfishers,Kingfishers,,,,
234,,Belted Kingfisher,Megaceryle alcyon,regular,,
,,,,,,
